item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q42005,Black Death,200000000,1347-01-01T00:00:00Z,1353-01-01T00:00:00Z
http://www.wikidata.org/entity/Q42005,Black Death,75000000,1347-01-01T00:00:00Z,1353-01-01T00:00:00Z
http://www.wikidata.org/entity/Q821711,Plague of Justinian,50000000,0541-01-01T00:00:00Z,0544-01-01T00:00:00Z
http://www.wikidata.org/entity/Q178275,1918-1920 flu pandemic,50000000,1918-10-01T00:00:00Z,1920-12-01T00:00:00Z
http://www.wikidata.org/entity/Q2454958,Great Chinese Famine,45000000,1959-01-01T00:00:00Z,1961-01-01T00:00:00Z
http://www.wikidata.org/entity/Q821711,Plague of Justinian,25000000,0541-01-01T00:00:00Z,0544-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2454958,Great Chinese Famine,15000000,1959-01-01T00:00:00Z,1961-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2497254,Soviet famine of 1932–1933,5000000,1932-01-01T00:00:00Z,1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4920638,Black Death in England,3750000,1348-06-01T00:00:00Z,1349-12-01T00:00:00Z
http://www.wikidata.org/entity/Q698323,North Korean famine,3500000,1994-01-01T00:00:00Z,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3307987,Italian Plague of 1629-1631,3000000,1625-01-01T00:00:00Z,1627-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4920638,Black Death in England,2700000,1348-06-01T00:00:00Z,1349-12-01T00:00:00Z
http://www.wikidata.org/entity/Q1434550,asian flu 1957–1958,2000000,1956-01-01T00:00:00Z,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1069785,1968 flu pandemic,1000000,1968-07-13T00:00:00Z,1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10658304,1889–90 flu pandemic,1000000,1889-10-01T00:00:00Z,1890-12-01T00:00:00Z
http://www.wikidata.org/entity/Q101452,2009 swine flu pandemic,575400,2009-02-01T00:00:00Z,2010-08-10T00:00:00Z
http://www.wikidata.org/entity/Q245551,1970 Bhola cyclone,500000,1970-11-03T00:00:00Z,1970-11-13T00:00:00Z
http://www.wikidata.org/entity/Q61082084,Q61082084,300000,1916-01-01T00:00:00Z,1918-01-01T00:00:00Z
http://www.wikidata.org/entity/Q245551,1970 Bhola cyclone,300000,1970-11-03T00:00:00Z,1970-11-13T00:00:00Z
http://www.wikidata.org/entity/Q698323,North Korean famine,240000,1994-01-01T00:00:00Z,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24547886,Q24547886,197069,1830-01-01T00:00:00Z,1831-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101452,2009 swine flu pandemic,151700,2009-02-01T00:00:00Z,2010-08-10T00:00:00Z
http://www.wikidata.org/entity/Q917048,Great Plague of London,100000,1665-01-01T00:00:00Z,1666-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1336847,Great Fire of Meireki,100000,1657-03-02T00:00:00Z,1657-03-05T00:00:00Z
http://www.wikidata.org/entity/Q493534,St. Lucia's flood,50000,1287-12-20T00:00:00Z,1287-12-21T00:00:00Z
http://www.wikidata.org/entity/Q11666822,Yōwa famine,42300,1181-01-01T00:00:00Z,1181-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8094772,1883 eruption of Krakatoa,36417,1883-05-01T00:00:00Z,1883-08-26T00:00:00Z
http://www.wikidata.org/entity/Q1149975,Q1149975,36000,1412-11-30T00:00:00Z,1412-11-30T00:00:00Z
http://www.wikidata.org/entity/Q386230,1902 eruption of Mount Pelée,30000,1902-04-23T00:00:00Z,1905-10-05T00:00:00Z
http://www.wikidata.org/entity/Q4576372,1974 smallpox epidemic in India,15000,1974-01-01T00:00:00Z,1974-05-01T00:00:00Z
http://www.wikidata.org/entity/Q499799,Christmas flood of 1717,14000,1717-12-24T00:00:00Z,1717-12-25T00:00:00Z
http://www.wikidata.org/entity/Q6740,Burchardi flood,11500,1634-10-11T00:00:00Z,1634-10-12T00:00:00Z
http://www.wikidata.org/entity/Q1075913,2010–2012 Haiti cholera outbreak,10300,2010-10-01T00:00:00Z,2019-01-01T00:00:00Z
