safeName,item,itemLabel,deaths,starttime,endtime,pointintime
WorldWarII,http://www.wikidata.org/entity/Q362,World War II,73000000,1939-09-01T00:00:00Z,1945-09-02T00:00:00Z,
WorldWarI,http://www.wikidata.org/entity/Q361,World War I,17000000,1914-07-28T00:00:00Z,1918-11-11T00:00:00Z,
VietnamWar,http://www.wikidata.org/entity/Q8740,Vietnam War,4211459,1965-11-01T00:00:00Z,1975-04-30T00:00:00Z,
WaroftheTripleAlliance,http://www.wikidata.org/entity/Q58947,War of the Triple Alliance,1000000,1864-12-27T00:00:00Z,1870-03-01T00:00:00Z,
GenocideagainsttheTutsis,http://www.wikidata.org/entity/Q131297,Genocide against the Tutsis,1000000,1994-04-07T00:00:00Z,1994-07-17T00:00:00Z,
SecondItalo-EthiopianWar,http://www.wikidata.org/entity/Q94916,Second Italo-Ethiopian War,275000,1935-10-03T00:00:00Z,1936-05-01T00:00:00Z,
BattleofOkinawa,http://www.wikidata.org/entity/Q192660,Battle of Okinawa,200656,1945-04-01T00:00:00Z,1945-06-23T00:00:00Z,
BattleofBerlin,http://www.wikidata.org/entity/Q154182,Battle of Berlin,200000,1945-04-16T00:00:00Z,1945-05-02T00:00:00Z,
LaViolencia,http://www.wikidata.org/entity/Q185407,La Violencia,200000,1949-12-06T00:00:00Z,1958-01-01T00:00:00Z,
SriLankanCivilWar,http://www.wikidata.org/entity/Q213394,Sri Lankan Civil War,100000,1983-07-23T00:00:00Z,2009-05-18T00:00:00Z,
LithuanianWarsofIndependence,http://www.wikidata.org/entity/Q2742886,Lithuanian Wars of Independence,38000,1918-12-01T00:00:00Z,1919-08-01T00:00:00Z,
BombingofHamburginWorldWarII,http://www.wikidata.org/entity/Q316868,Bombing of Hamburg in World War II,34000,1939-09-11T00:00:00Z,1945-04-14T00:00:00Z,
BombingofDresdeninWorldWarII,http://www.wikidata.org/entity/Q152142,Bombing of Dresden in World War II,25000,1945-02-13T00:00:00Z,1945-02-15T00:00:00Z,
massacreatBéziers,http://www.wikidata.org/entity/Q941312,massacre at Béziers,20000,1209-07-29T00:00:00Z,1209-07-29T00:00:00Z,
Khostrebellion(1924–1925),http://www.wikidata.org/entity/Q6402599,Khost rebellion (1924–1925),14000,1924-03-01T00:00:00Z,1925-01-30T00:00:00Z,
Mexican–AmericanWar,http://www.wikidata.org/entity/Q6683,Mexican–American War,11733,1846-04-24T00:00:00Z,1848-02-02T00:00:00Z,
consolidationoftheIranianRevolution,http://www.wikidata.org/entity/Q5163326,consolidation of the Iranian Revolution,10000,1979-02-14T00:00:00Z,1983-12-01T00:00:00Z,
BattleofGenaleDoria,http://www.wikidata.org/entity/Q4871088,Battle of Genale Doria,9000,1936-01-12T00:00:00Z,1936-01-20T00:00:00Z,
BattleofLützen(1632),http://www.wikidata.org/entity/Q167259,Battle of Lützen (1632),8400,1632-11-16T00:00:00Z,1632-11-16T00:00:00Z,
BoshinWar,http://www.wikidata.org/entity/Q309184,Boshin War,8200,1868-01-27T00:00:00Z,1869-06-27T00:00:00Z,
