item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q2763,The Holocaust,6000000,1941-01-01T00:00:00Z
http://www.wikidata.org/entity/Q80034,Armenian Genocide,1200000,1915-01-01T00:00:00Z
http://www.wikidata.org/entity/Q911233,Greek genocide,450000,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q192055,Nanjing Massacre,200000,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q181289,Bodo League massacre,200000,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3487920,Intelligenzaktion,100000,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q699787,Manila massacre,100000,1945-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2655890,NKVD prisoner massacres,100000,1941-01-01T00:00:00Z
http://www.wikidata.org/entity/Q695020,massacres of Poles in Volhynia and Eastern Galicia,80000,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12504990,Pontianak incidents,50000,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6044171,Intelligenzaktion Pommern,40000,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q695020,massacres of Poles in Volhynia and Eastern Galicia,30000,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q481526,Kamianets-Podilskyi Massacre,23600,1941-01-01T00:00:00Z
http://www.wikidata.org/entity/Q134301,Katyn massacre,22000,1940-01-01T00:00:00Z
http://www.wikidata.org/entity/Q941312,massacre at Béziers,20000,1209-07-29T00:00:00Z
http://www.wikidata.org/entity/Q730878,Hama massacre,10000,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q170334,Srebrenica massacre,8000,1995-07-22T00:00:00Z
http://www.wikidata.org/entity/Q3504310,1984 Anti-Sikh Genocide,8000,1984-11-03T00:00:00Z
http://www.wikidata.org/entity/Q1155064,massacre of Thessalonica,7000,0390-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1527609,Koriukivka massacre,6700,1943-03-01T00:00:00Z
http://www.wikidata.org/entity/Q537576,massacre of the Acqui Division,5155,1943-09-26T00:00:00Z
http://www.wikidata.org/entity/Q47890072,1987 Onsong-12 prison riot,5000,1987-05-01T00:00:00Z
http://www.wikidata.org/entity/Q2608210,Paracuellos massacres,4000,1936-12-01T00:00:00Z
http://www.wikidata.org/entity/Q796398,Ba Chuc Massacre,3157,1978-04-18T00:00:00Z
http://www.wikidata.org/entity/Q2367644,Awa'uq Massacre,3000,1784-08-14T00:00:00Z
http://www.wikidata.org/entity/Q10806,September 11 attacks,2996,2001-09-11T00:00:00Z
http://www.wikidata.org/entity/Q3504310,1984 Anti-Sikh Genocide,2800,1984-11-03T00:00:00Z
http://www.wikidata.org/entity/Q60830,Lisbon Massacre,2500,1506-04-01T00:00:00Z
http://www.wikidata.org/entity/Q61984612,Клане в Гютели махле,2400,1877-07-14T00:00:00Z
http://www.wikidata.org/entity/Q1290410,Glina massacres,2394,1941-05-12T00:00:00Z
http://www.wikidata.org/entity/Q17199280,Camp Speicher massacre,1600,2014-06-12T00:00:00Z
http://www.wikidata.org/entity/Q17199280,Camp Speicher massacre,1570,2014-06-12T00:00:00Z
http://www.wikidata.org/entity/Q14626794,August 2013 Ghouta chemical attack,1429,2013-08-21T00:00:00Z
http://www.wikidata.org/entity/Q86192668,Ագուլիսի ջարդեր,1400,1919-12-24T00:00:00Z
http://www.wikidata.org/entity/Q496095,Ganghwa massacre,1300,1951-01-06T00:00:00Z
http://www.wikidata.org/entity/Q56685959,Transport and murder of Białystok children,1200,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q68458380,Zbrodnie na pacjentach w Państwowym Zakładzie dla Umysłowo i Nerwowo Chorych w Kobierzynie,1000,1942-06-23T00:00:00Z
http://www.wikidata.org/entity/Q3297470,Yelwa massacre,1000,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6762569,Marichjhapi massacre,1000,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12504990,Pontianak incidents,1000,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q61118876,Страшното,800,1877-07-20T00:00:00Z
http://www.wikidata.org/entity/Q704206,Marzabotto massacre,770,1944-10-05T00:00:00Z
http://www.wikidata.org/entity/Q2441042,massacre of Butrimonys,740,1941-09-09T00:00:00Z
http://www.wikidata.org/entity/Q491018,Geochang massacre,719,1951-02-09T00:00:00Z
http://www.wikidata.org/entity/Q496145,Sancheong-Hamyang massacre,705,1951-02-07T00:00:00Z
http://www.wikidata.org/entity/Q836897,massacre of Oradour-sur-Glane,642,1944-06-10T00:00:00Z
http://www.wikidata.org/entity/Q218446,Khojaly Massacre,613,1992-02-26T00:00:00Z
http://www.wikidata.org/entity/Q1464154,Weenen massacre,530,1838-02-17T00:00:00Z
http://www.wikidata.org/entity/Q183421,My Lai Massacre,504,1968-03-16T00:00:00Z
http://www.wikidata.org/entity/Q2367644,Awa'uq Massacre,500,1784-08-14T00:00:00Z
http://www.wikidata.org/entity/Q123170,Cinema Rex fire,470,1978-08-19T00:00:00Z
http://www.wikidata.org/entity/Q15891798,Namyangju Massacre,460,1950-10-01T00:00:00Z
http://www.wikidata.org/entity/Q9388665,Prkos massacre,438,1941-12-21T00:00:00Z
http://www.wikidata.org/entity/Q497528,Binh Hoa massacre,430,1966-12-06T00:00:00Z
http://www.wikidata.org/entity/Q208855,Jallianwala Bagh massacre,379,1919-04-13T00:00:00Z
http://www.wikidata.org/entity/Q616307,Indian massacre of 1622,347,1622-03-22T00:00:00Z
http://www.wikidata.org/entity/Q1136536,Meja Massacre,345,1999-04-28T00:00:00Z
http://www.wikidata.org/entity/Q638761,Ardeatine massacre,335,1944-03-24T00:00:00Z
http://www.wikidata.org/entity/Q108413,Wounded Knee Massacre,300,1890-12-29T00:00:00Z
